"noms","longitude","latitude"
"pal1-el-100-1",-61.6884280601418,47.5417502280381
"pal1-el-100-2",-61.6874925674816,47.5415856072221
"pal1-el-100-3",-61.6860894744055,47.542227782006
"pal1-el-100-4",-61.6879870899356,47.5416074227957
"pal1-el-100-5",-61.6886256481877,47.5411534134344
"pal1-el-1100-1",-61.6932004639427,47.5479548644559
"pal1-el-1100-2",-61.694735154507,47.5489375424375
"pal1-el-1100-3",-61.6953648974091,47.5478888035548
"pal1-el-1100-4",-61.6921544431695,47.5467817488219
"pal1-el-1100-5",-61.6909373565539,47.5464364264102
"pal1-el-600-1",-61.689712544361,47.5420994439371
"pal1-el-600-2",-61.6908451856503,47.5443430135494
"pal1-el-600-3",-61.6877517554157,47.5424911559642
"pal1-el-600-4",-61.6887215038785,47.5424545188885
"pal1-el-600-5",-61.6884100533608,47.5437866277278
"pal1-mo-100-1",-61.6849843929145,47.5425260864776
"pal1-mo-100-2",-61.6841379673603,47.5430167130332
"pal1-mo-100-3",-61.6854674156091,47.5427267551283
"pal1-mo-100-4",-61.6853223107478,47.542631480447
"pal1-mo-100-5",-61.684177374521,47.5432046780078
"pal1-mo-1100-1",-61.6917914167558,47.5494336902082
"pal1-mo-1100-2",-61.6894490222365,47.5480924613359
"pal1-mo-1100-3",-61.693018966322,47.550364639309
"pal1-mo-1100-4",-61.6892797904411,47.5494865122498
"pal1-mo-1100-5",-61.6899599227219,47.548283079162
"pal1-mo-600-1",-61.6855282312948,47.544980136341
"pal1-mo-600-2",-61.6861078016813,47.5437211141043
"pal1-mo-600-3",-61.688121598779,47.5466147526268
"pal1-mo-600-4",-61.686715168418,47.5436228606352
"pal1-mo-600-5",-61.685489597104,47.5434984123026
"pal1-pr-100-1",-61.6823443757744,47.5435682400125
"pal1-pr-100-2",-61.683166762197,47.5441789337043
"pal1-pr-100-3",-61.681450457347,47.5445669868925
"pal1-pr-100-4",-61.6822442064517,47.5440018621154
"pal1-pr-100-5",-61.6827139405513,47.5438884581417
"pal1-pr-1100-1",-61.68687045231,47.549237954072
"pal1-pr-1100-2",-61.6894708310236,47.551987747047
"pal1-pr-1100-3",-61.6902530214299,47.5511438574115
"pal1-pr-1100-4",-61.689888119258,47.5509360496817
